property_type,prices,prop_description,locations,beds_num,baths_num,area
Apartment,"5,150,000 EGP",Luxury Apartment Ready to move Under Price,"Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,3, 168 sqm
Villa,"25,130,000 EGP",GOLF VIEW LUXURY VILLA NORTH FACING PAY 5%DP ONLY!,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 334 sqm
Chalet,"14,320,000 EGP",Unit For Sale Sea View Fully Finished Over 8 Years,"Kamaran, El Gouna, Hurghada, Red Sea",2,2, 125 sqm
Chalet,"15,542,000 EGP",Unit For Sale Sea View Fully Finished Over 8 Years,"Shedwan Resort, El Gouna, Hurghada, Red Sea",2,2, 123 sqm
Chalet,"24,300,000 EGP",Unit For Sale Sea View Fully Finished Over 8 Years,"Kamaran, El Gouna, Hurghada, Red Sea",3,3, 165 sqm
Chalet,"23,410,000 EGP",Unit For Sale Sea View Fully Finished Over 8 Years,"Shedwan Resort, El Gouna, Hurghada, Red Sea",3,3, 155 sqm
Villa,"32,123,200 EGP",Unit For Sale Sea View Fully Finished Over 8 Years,"Kamaran, El Gouna, Hurghada, Red Sea",3,4, 245 sqm
Villa,"34,210,000 EGP",Unit For Sale Sea View Fully Finished Over 8 Years,"Shedwan Resort, El Gouna, Hurghada, Red Sea",3,4, 245 sqm
Townhouse,"21,200,000 EGP",Villa Fully Finished Offer 0% Down Payment,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza",4,5, 240 sqm
Apartment,"100,000 EGP",Good Location-Lowest Price-Fully Furnished.,"Cornish El Nile St., Maadi, Hay El Maadi, Cairo",2,2, 140 sqm
Apartment,"13,000,000 EGP",Ground Apartment 220 M with Garden Fully Finished,"Dyar Compound, 90 Street, The 5th Settlement, New Cairo City, Cairo",2,3, 220 sqm
Penthouse,"100,000 EGP",Free Furniture Moving -Good Location-Lowest Price,"Street 207, Degla, Hay El Maadi, Cairo",3,2, 165 sqm
Apartment,"3,100,000 EGP",شقة للبيع نص تشطيب بخصم 50% للكاش و متاح تقسيط,"Almazah, Heliopolis - Masr El Gedida, Cairo",2,1, 100 sqm
Apartment,"3,100,000 EGP",شقة للبيع نص تشطيب بخصم 50% للكاش و متاح تقسيط,"Rock Yard, Sheraton Al Matar, El Nozha, Cairo",2,1, 100 sqm
Apartment,"5,834,400 EGP","Sea &amp; pool view apartment, private beach, 20% down","Al Ahyaa District, Hurghada, Red Sea",1,1, 78 sqm
Apartment,"4,002,000 EGP",شقه فيو حمام سباحه في الممشي السياحي غرفه وصاله,"Marine Sports Club, Hurghada Resorts, Hurghada, Red Sea",1,1, 69 sqm
Apartment,"1,589,775 EGP",LA GOUNA RESORT in AL Ahyaa Road in hurghada,"Al Ahyaa District, Hurghada, Red Sea",1,1, 47 sqm
Apartment,"5,255,250 EGP",Premium 1-Bedroom Penthouse | ONE 7 Residence,"One7 Residence, Hurghada Resorts, Hurghada, Red Sea",1,1, 75 sqm
Apartment,"1,458,000 EGP",ستوديو للبيع في الاحياء مساحتها 45 متر مربع,"The Three Corners Royal Star Beach Resort, Hurghada Resorts, Hurghada, Red Sea",1,1, 45 sqm
Apartment,"6,582,400 EGP",Oro Beach Resort in El Ahyaa Road in hurghada,"Al Ahyaa District, Hurghada, Red Sea",1,1, 88 sqm
Apartment,"4,000,000 EGP",Beachfront Sea View Studio | Storia Del Mare,"Storia Del Mare, Hurghada Resorts, Hurghada, Red Sea", studio,1, 42 sqm
